Target Distance: 50, Step Size: 2
574: (x,y) = (4.63407, -1.92708)
575: (x,y) = (5.15171, -3.85893)
576: (x,y) = (6.56592, -5.27314)
577: (x,y) = (7.71307, -3.63484)
578: (x,y) = (7.09504, -5.53695)
579: (x,y) = (7.54494, -3.58821)
580: (x,y) = (7.82329, -1.60767)
581: (x,y) = (8.10163, -3.58821)
582: (x,y) = (7.2564, -1.77559)
583: (x,y) = (6.28678, -0.0263543)
584: (x,y) = (4.53754, -0.995974)
585: (x,y) = (6.26959, -1.99597)
586: (x,y) = (6.4091, -0.000845408)
587: (x,y) = (5.29072, 1.65723)
588: (x,y) = (7.28311, 1.48292)
589: (x,y) = (7.14359, 3.47805)
590: (x,y) = (7.07379, 5.47683)
591: (x,y) = (5.76168, 6.98625)
592: (x,y) = (3.78114, 6.7079)
593: (x,y) = (2.16311, 7.88347)
594: (x,y) = (3.62581, 9.24747)
595: (x,y) = (1.63069, 9.10796)
596: (x,y) = (3.5328, 9.72599)
597: (x,y) = (1.72018, 8.88075)
598: (x,y) = (1.10215, 10.7829)
599: (x,y) = (0.927837, 12.7753)
600: (x,y) = (-1.03542, 13.1569)
601: (x,y) = (-1.00051, 11.1572)
602: (x,y) = (0.955783, 10.7414)
603: (x,y) = (-0.992957, 11.1913)
604: (x,y) = (0.919652, 11.776)
605: (x,y) = (-0.877936, 12.6527)
606: (x,y) = (1.0708, 13.1026)
607: (x,y) = (2.95019, 13.7867)
608: (x,y) = (2.10495, 15.5993)
609: (x,y) = (4.00707, 14.9813)
610: (x,y) = (2.01194, 14.8418)
611: (x,y) = (0.952099, 13.1457)
612: (x,y) = (0.987004, 15.1454)
613: (x,y) = (-0.427209, 16.5596)
614: (x,y) = (-1.33519, 14.7776)
615: (x,y) = (-0.15962, 13.1595)
616: (x,y) = (-1.15962, 11.4275)
617: (x,y) = (-2.2489, 9.75013)
618: (x,y) = (-4.24859, 9.71522)
619: (x,y) = (-6.21821, 9.36793)
620: (x,y) = (-6.59983, 7.40467)
621: (x,y) = (-5.45267, 5.76637)
622: (x,y) = (-5.8685, 7.72266)
623: (x,y) = (-7.77061, 7.10463)
624: (x,y) = (-9.15993, 5.66595)
625: (x,y) = (-8.22098, 7.43184)
626: (x,y) = (-6.24561, 7.74471)
627: (x,y) = (-8.08662, 8.52618)
628: (x,y) = (-6.62391, 7.16218)
629: (x,y) = (-8.33824, 6.1321)
630: (x,y) = (-6.54066, 7.00884)
631: (x,y) = (-8.25499, 5.97877)
632: (x,y) = (-7.94212, 7.95415)
633: (x,y) = (-8.22047, 9.93468)
634: (x,y) = (-7.16063, 8.23859)
635: (x,y) = (-5.23811, 7.68731)
636: (x,y) = (-7.1944, 7.27149)
637: (x,y) = (-6.41294, 9.1125)
638: (x,y) = (-4.42785, 8.86876)
639: (x,y) = (-6.38414, 8.45293)
640: (x,y) = (-8.26353, 7.76889)
641: (x,y) = (-7.77968, 9.70949)
642: (x,y) = (-9.76873, 9.91854)
643: (x,y) = (-11.7175, 10.3684)
644: (x,y) = (-11.2336, 8.42785)
645: (x,y) = (-11.2336, 6.42785)
646: (x,y) = (-13.2187, 6.67159)
647: (x,y) = (-12.2798, 4.9057)
648: (x,y) = (-10.5837, 3.84586)
649: (x,y) = (-9.02938, 2.58722)
650: (x,y) = (-7.911, 0.929143)
651: (x,y) = (-9.60709, -0.130696)
652: (x,y) = (-9.5373, 1.86809)
653: (x,y) = (-9.64197, -0.129173)
654: (x,y) = (-7.64227, -0.164078)
655: (x,y) = (-8.39149, 1.69029)
656: (x,y) = (-8.97623, -0.22232)
657: (x,y) = (-10.9714, -0.082807)
658: (x,y) = (-11.3187, 1.88681)
659: (x,y) = (-9.43927, 1.20277)
660: (x,y) = (-8.18063, -0.351524)
661: (x,y) = (-9.94652, 0.587419)
662: (x,y) = (-11.4092, 1.95142)
663: (x,y) = (-11.3046, -0.045843)
664: (x,y) = (-10.3046, -1.77789)
665: (x,y) = (-8.49194, -0.932657)
666: (x,y) = (-10.274, -0.0246762)
667: (x,y) = (-10.1344, -2.0198)
668: (x,y) = (-8.82232, -3.52922)
669: (x,y) = (-6.95516, -2.81249)
670: (x,y) = (-6.37042, -4.7251)
671: (x,y) = (-8.31101, -5.20894)
672: (x,y) = (-6.69298, -6.38451)
673: (x,y) = (-6.86729, -4.39212)
674: (x,y) = (-8.86242, -4.25261)
675: (x,y) = (-10.3718, -2.94049)
676: (x,y) = (-9.62262, -1.08612)
677: (x,y) = (-11.0613, -2.47544)
678: (x,y) = (-9.08077, -2.75379)
679: (x,y) = (-7.11751, -3.1354)
680: (x,y) = (-5.12238, -3.27492)
681: (x,y) = (-5.8716, -1.42055)
682: (x,y) = (-5.25356, 0.481564)
683: (x,y) = (-6.59182, 1.96785)
684: (x,y) = (-5.71508, 0.170265)
685: (x,y) = (-4.74546, 1.9195)
686: (x,y) = (-5.3635, 3.82162)
687: (x,y) = (-3.72519, 4.96877)
688: (x,y) = (-5.66578, 5.45261)
689: (x,y) = (-5.21588, 7.40135)
690: (x,y) = (-3.51979, 8.46119)
691: (x,y) = (-3.10396, 10.4175)
692: (x,y) = (-4.95833, 9.66827)
693: (x,y) = (-6.82549, 8.95154)
694: (x,y) = (-4.82671, 8.88174)
695: (x,y) = (-3.07747, 7.91212)
696: (x,y) = (-2.16949, 6.13011)
697: (x,y) = (-3.86559, 7.18995)
698: (x,y) = (-2.58001, 8.72204)
699: (x,y) = (-3.83865, 10.2763)
700: (x,y) = (-2.93067, 12.0583)
701: (x,y) = (-3.77591, 10.2457)
702: (x,y) = (-2.22161, 11.5044)
703: (x,y) = (-0.354454, 12.2211)
704: (x,y) = (-1.84074, 13.5594)
705: (x,y) = (-0.780905, 11.8633)
706: (x,y) = (-2.76144, 11.5849)
707: (x,y) = (-0.82085, 12.0688)
708: (x,y) = (-1.13372, 14.0441)
709: (x,y) = (-0.548975, 15.9568)
710: (x,y) = (-2.10327, 17.2154)
711: (x,y) = (-2.48489, 15.2521)
712: (x,y) = (-0.617724, 15.9689)
713: (x,y) = (-0.999342, 17.9321)
714: (x,y) = (0.749897, 18.9017)
715: (x,y) = (-1.2064, 19.3176)
716: (x,y) = (-0.361162, 17.505)
717: (x,y) = (-1.2379, 19.3025)
718: (x,y) = (0.68462, 18.7513)
719: (x,y) = (-1.31051, 18.8908)
720: (x,y) = (-3.2668, 18.475)
721: (x,y) = (-5.16892, 17.8569)
722: (x,y) = (-3.45458, 16.8268)
723: (x,y) = (-4.00586, 18.7494)
724: (x,y) = (-2.29152, 19.7794)
725: (x,y) = (-0.316146, 19.4666)
726: (x,y) = (-2.31584, 19.5015)
727: (x,y) = (-0.340464, 19.8144)
728: (x,y) = (-0.618811, 17.8338)
729: (x,y) = (0.0323258, 19.7249)
730: (x,y) = (0.310672, 21.7054)
731: (x,y) = (-0.173172, 23.646)
732: (x,y) = (1.74935, 23.0947)
733: (x,y) = (3.66196, 23.6794)
734: (x,y) = (4.11186, 21.7307)
735: (x,y) = (3.90281, 19.7417)
736: (x,y) = (3.31806, 17.8291)
737: (x,y) = (4.28768, 19.5783)
738: (x,y) = (4.63498, 17.6087)
739: (x,y) = (5.15262, 19.5405)
740: (x,y) = (4.70271, 17.5918)
741: (x,y) = (3.14842, 18.8504)
742: (x,y) = (4.14842, 17.1184)
743: (x,y) = (5.11804, 15.3691)
744: (x,y) = (6.02602, 13.5871)
745: (x,y) = (7.93863, 14.1719)
746: (x,y) = (9.93741, 14.1021)
747: (x,y) = (11.9298, 13.9278)
748: (x,y) = (11.7903, 11.9326)
749: (x,y) = (9.97767, 12.7779)
750: (x,y) = (7.98255, 12.6384)
751: (x,y) = (7.0436, 10.8725)
752: (x,y) = (5.11175, 10.3548)
753: (x,y) = (3.55746, 11.6135)
754: (x,y) = (5.41183, 12.3627)
755: (x,y) = (5.92947, 14.2945)
756: (x,y) = (5.41183, 12.3627)
757: (x,y) = (4.38175, 14.077)
758: (x,y) = (2.40637, 14.3899)
759: (x,y) = (2.75367, 16.3595)
760: (x,y) = (1.36435, 14.9208)
761: (x,y) = (-0.448261, 14.0756)
762: (x,y) = (1.01445, 12.7116)
763: (x,y) = (-0.582825, 13.9152)
764: (x,y) = (1.24427, 14.7287)
765: (x,y) = (-0.487785, 13.7287)
766: (x,y) = (-1.74643, 15.283)
767: (x,y) = (-0.807482, 13.5171)
768: (x,y) = (-2.78286, 13.83)
769: (x,y) = (-2.60855, 11.8376)
770: (x,y) = (-0.659807, 11.3877)
771: (x,y) = (1.16728, 10.5742)
772: (x,y) = (-0.387008, 9.31555)
773: (x,y) = (1.59808, 9.07181)
774: (x,y) = (3.42517, 9.88528)
775: (x,y) = (2.27802, 11.5236)
776: (x,y) = (1.18874, 13.2009)
777: (x,y) = (0.841448, 15.1705)
778: (x,y) = (1.49258, 17.0616)
779: (x,y) = (0.00629423, 18.3998)
780: (x,y) = (1.99534, 18.1908)
781: (x,y) = (3.14249, 16.5525)
782: (x,y) = (3.3168, 14.5601)
783: (x,y) = (1.32776, 14.7691)
784: (x,y) = (0.209373, 13.1111)
785: (x,y) = (1.17899, 14.8603)
786: (x,y) = (3.10152, 15.4116)
787: (x,y) = (1.54722, 14.1529)
788: (x,y) = (3.54235, 14.0134)
789: (x,y) = (5.46487, 14.5647)
790: (x,y) = (3.78753, 13.4754)
791: (x,y) = (5.75079, 13.857)
792: (x,y) = (7.69953, 13.4071)
793: (x,y) = (9.68462, 13.1634)
794: (x,y) = (11.5867, 12.5454)
795: (x,y) = (10.6171, 10.7961)
796: (x,y) = (8.715, 11.4142)
797: (x,y) = (7.03766, 12.5034)
798: (x,y) = (5.41963, 13.679)
799: (x,y) = (4.35979, 11.9829)
800: (x,y) = (3.70865, 10.0919)
801: (x,y) = (5.32669, 11.2675)
802: (x,y) = (7.1393, 10.4222)
803: (x,y) = (9.12834, 10.6313)
804: (x,y) = (9.67962, 8.70875)
805: (x,y) = (8.61978, 7.01265)
806: (x,y) = (6.92368, 5.95281)
807: (x,y) = (8.38639, 7.31681)
808: (x,y) = (10.3837, 7.42148)
809: (x,y) = (8.38487, 7.35168)
810: (x,y) = (9.29285, 5.56967)
811: (x,y) = (9.22305, 7.56845)
812: (x,y) = (9.08354, 9.56358)
813: (x,y) = (8.0237, 7.86748)
814: (x,y) = (10.0234, 7.90239)
815: (x,y) = (8.51398, 9.21451)
816: (x,y) = (7.57503, 7.44861)
817: (x,y) = (9.38765, 8.29385)
818: (x,y) = (8.02365, 6.83114)
819: (x,y) = (9.46233, 5.44182)
820: (x,y) = (10.1135, 7.33286)
821: (x,y) = (10.1833, 5.33408)
822: (x,y) = (9.46653, 3.46692)
823: (x,y) = (10.1506, 5.3463)
824: (x,y) = (8.975, 3.72827)
825: (x,y) = (9.78847, 5.55536)
826: (x,y) = (9.71868, 3.55658)
827: (x,y) = (9.50962, 1.56754)
828: (x,y) = (9.128, 3.53079)
829: (x,y) = (8.128, 1.79874)
830: (x,y) = (6.15262, 1.48587)
831: (x,y) = (7.38395, 3.06189)
832: (x,y) = (9.04202, 1.94351)
833: (x,y) = (11.0226, 1.66516)
834: (x,y) = (10.6409, -0.298094)
835: (x,y) = (10.7456, 1.69916)
836: (x,y) = (9.83763, -0.0828483)
837: (x,y) = (10.5868, 1.77152)
838: (x,y) = (9.17263, 3.18573)
839: (x,y) = (8.99832, 1.19334)
840: (x,y) = (7.30222, 0.133505)
841: (x,y) = (5.30983, -0.0408064)
842: (x,y) = (6.79612, 1.29745)
843: (x,y) = (8.7715, 1.61032)
844: (x,y) = (6.80188, 1.26303)
845: (x,y) = (6.08515, 3.13019)
846: (x,y) = (4.33591, 4.09981)
847: (x,y) = (4.02304, 6.07518)
848: (x,y) = (5.77228, 7.0448)
849: (x,y) = (7.50433, 8.0448)
850: (x,y) = (9.23638, 9.0448)
851: (x,y) = (9.41069, 11.0372)
852: (x,y) = (7.81342, 9.83356)
853: (x,y) = (7.88322, 7.83478)
854: (x,y) = (7.91813, 5.83509)
855: (x,y) = (7.26699, 3.94405)
856: (x,y) = (8.79908, 5.22962)
857: (x,y) = (7.56775, 6.80565)
858: (x,y) = (5.75514, 5.96041)
859: (x,y) = (3.98924, 5.02147)
860: (x,y) = (4.60728, 3.11935)
861: (x,y) = (6.44829, 2.33789)
862: (x,y) = (7.95771, 3.65001)
863: (x,y) = (9.04698, 5.32735)
864: (x,y) = (7.73487, 6.83677)
865: (x,y) = (7.52581, 8.82581)
866: (x,y) = (9.0801, 10.0845)
867: (x,y) = (10.6344, 8.82581)
868: (x,y) = (12.0971, 7.46182)
869: (x,y) = (12.132, 5.46212)
870: (x,y) = (14.1271, 5.60163)
871: (x,y) = (15.1271, 7.33368)
872: (x,y) = (13.7631, 5.87098)
873: (x,y) = (15.1271, 4.40827)
874: (x,y) = (17.0397, 4.99301)
875: (x,y) = (18.4784, 6.38233)
876: (x,y) = (20.391, 6.96707)
877: (x,y) = (18.4059, 6.72333)
878: (x,y) = (20.3983, 6.54902)
879: (x,y) = (22.0164, 7.72459)
880: (x,y) = (21.1711, 9.53721)
881: (x,y) = (20.5531, 7.6351)
882: (x,y) = (21.7287, 9.25313)
883: (x,y) = (23.685, 9.66895)
884: (x,y) = (25.5393, 8.91974)
885: (x,y) = (23.5697, 8.57244)
886: (x,y) = (22.0154, 7.3138)
887: (x,y) = (20.1133, 6.69577)
888: (x,y) = (20.698, 8.60838)
889: (x,y) = (21.3821, 10.4878)
890: (x,y) = (23.3672, 10.7315)
891: (x,y) = (22.1085, 9.17721)
892: (x,y) = (20.2414, 9.89395)
893: (x,y) = (18.2441, 9.78927)
894: (x,y) = (16.4949, 8.81966)
895: (x,y) = (14.5143, 9.098)
896: (x,y) = (16.5131, 9.1678)
897: (x,y) = (18.0225, 10.4799)
898: (x,y) = (19.7718, 9.5103)
899: (x,y) = (18.2624, 10.8224)
900: (x,y) = (16.4498, 9.97718)
901: (x,y) = (14.7177, 8.97718)
902: (x,y) = (12.9357, 9.88516)
903: (x,y) = (11.0685, 10.6019)
904: (x,y) = (13.0682, 10.6368)
905: (x,y) = (14.8808, 11.482)
906: (x,y) = (13.4666, 10.0678)
907: (x,y) = (15.4472, 10.3462)
908: (x,y) = (13.9377, 11.6583)
909: (x,y) = (13.1563, 9.81728)
910: (x,y) = (11.2, 9.40146)
911: (x,y) = (13.1021, 8.78342)
912: (x,y) = (12.3206, 6.94241)
913: (x,y) = (11.939, 8.90567)
914: (x,y) = (13.1426, 7.3084)
915: (x,y) = (13.3864, 5.3233)
916: (x,y) = (11.9237, 6.6873)
917: (x,y) = (10.2093, 5.65722)
918: (x,y) = (10.4531, 3.67213)
919: (x,y) = (8.72103, 2.67213)
920: (x,y) = (7.33171, 4.11081)
921: (x,y) = (7.26192, 2.11203)
922: (x,y) = (9.18444, 1.56076)
923: (x,y) = (9.28911, 3.55801)
924: (x,y) = (8.14196, 5.19632)
925: (x,y) = (9.96905, 4.38285)
926: (x,y) = (8.53037, 2.99353)
927: (x,y) = (8.49546, 0.993833)
928: (x,y) = (10.4845, 0.784776)
929: (x,y) = (12.3971, 0.200033)
930: (x,y) = (11.5836, 2.02712)
931: (x,y) = (11.066, 3.95898)
932: (x,y) = (9.31677, 4.92859)
933: (x,y) = (9.45628, 6.92372)
934: (x,y) = (9.49118, 4.92403)
935: (x,y) = (10.5805, 6.60137)
936: (x,y) = (12.1126, 5.31579)
937: (x,y) = (13.2881, 3.69776)
938: (x,y) = (12.5714, 1.8306)
939: (x,y) = (12.8843, -0.144778)
940: (x,y) = (12.1028, -1.98579)
941: (x,y) = (11.8244, -3.96632)
942: (x,y) = (9.95729, -3.24959)
943: (x,y) = (11.9424, -3.49333)
944: (x,y) = (11.0034, -1.72743)
945: (x,y) = (10.2867, 0.139729)
946: (x,y) = (8.30616, 0.418075)
947: (x,y) = (10.2287, 0.96935)
948: (x,y) = (11.906, 2.05863)
949: (x,y) = (10.906, 3.79068)
950: (x,y) = (12.8623, 4.2065)
951: (x,y) = (14.325, 2.84251)
952: (x,y) = (13.9434, 0.879251)
953: (x,y) = (13.0045, 2.64515)
954: (x,y) = (14.7704, 1.7062)
955: (x,y) = (12.7898, 1.42786)
956: (x,y) = (10.8411, 1.87776)
957: (x,y) = (10.5627, -0.102777)
958: (x,y) = (9.71751, 1.70984)
959: (x,y) = (9.33589, -0.253416)
960: (x,y) = (8.61915, 1.61374)
961: (x,y) = (10.1054, 2.95201)
962: (x,y) = (11.1054, 4.68406)
963: (x,y) = (9.52942, 3.45273)
964: (x,y) = (10.4374, 5.23475)
965: (x,y) = (9.95356, 7.17534)
966: (x,y) = (8.0864, 6.4586)
967: (x,y) = (10.0754, 6.24955)
968: (x,y) = (12.056, 6.52789)
969: (x,y) = (10.3067, 7.49751)
970: (x,y) = (8.43958, 6.78078)
971: (x,y) = (9.6709, 8.3568)
972: (x,y) = (10.9022, 6.78078)
973: (x,y) = (11.1113, 8.76982)
974: (x,y) = (11.5271, 10.7261)
975: (x,y) = (10.8431, 8.84673)
976: (x,y) = (12.5011, 7.72834)
977: (x,y) = (14.4963, 7.58883)
978: (x,y) = (15.9105, 9.00304)
979: (x,y) = (17.8956, 8.75931)
980: (x,y) = (17.8607, 6.75961)
981: (x,y) = (19.6266, 7.69855)
982: (x,y) = (21.136, 9.01067)
983: (x,y) = (19.3701, 8.07173)
984: (x,y) = (20.2153, 6.25911)
985: (x,y) = (21.4466, 4.68309)
986: (x,y) = (23.1787, 3.68309)
987: (x,y) = (23.5603, 5.64635)
988: (x,y) = (21.7059, 4.89713)
989: (x,y) = (23.1922, 3.55887)
990: (x,y) = (22.9485, 1.57378)
991: (x,y) = (20.9534, 1.43427)
992: (x,y) = (19.0623, 2.0854)
993: (x,y) = (19.58, 0.15355)
994: (x,y) = (21.5432, 0.535168)
995: (x,y) = (19.5581, 0.778907)
996: (x,y) = (19.2108, -1.19071)
997: (x,y) = (20.5491, 0.295581)
998: (x,y) = (20.4793, -1.7032)
999: (x,y) = (18.5568, -2.25448)
1000: (x,y) = (19.9208, -3.71718)
1001: (x,y) = (17.9235, -3.82185)
1002: (x,y) = (18.6727, -1.96749)
1003: (x,y) = (18.6727, -3.96749)
1004: (x,y) = (18.7425, -5.96627)
1005: (x,y) = (16.9299, -5.12103)
1006: (x,y) = (16.1484, -6.96204)
1007: (x,y) = (18.0506, -6.34401)
1008: (x,y) = (17.6007, -8.29275)
1009: (x,y) = (16.2367, -6.83004)
1010: (x,y) = (17.0181, -4.98903)
1011: (x,y) = (18.7142, -3.92919)
1012: (x,y) = (20.663, -4.37909)
1013: (x,y) = (22.6553, -4.20478)
1014: (x,y) = (21.0373, -3.02921)
1015: (x,y) = (21.9453, -1.2472)
1016: (x,y) = (20.1794, -0.308256)
1017: (x,y) = (19.5947, -2.22087)
1018: (x,y) = (21.2127, -1.0453)
1019: (x,y) = (21.0384, 0.947094)
1020: (x,y) = (23.0235, 0.703355)
1021: (x,y) = (22.6419, 2.66661)
1022: (x,y) = (22.5023, 0.671482)
1023: (x,y) = (23.7337, -0.90454)
1024: (x,y) = (24.8229, 0.772801)
1025: (x,y) = (26.8035, 1.05115)
1026: (x,y) = (27.3882, -0.861462)
1027: (x,y) = (29.0463, 0.256924)
1028: (x,y) = (30.2219, 1.87496)
1029: (x,y) = (31.3111, 3.5523)
1030: (x,y) = (31.4507, 5.54743)
1031: (x,y) = (29.7186, 6.54743)
1032: (x,y) = (30.6266, 4.76541)
1033: (x,y) = (31.5346, 6.54743)
1034: (x,y) = (30.8178, 8.41459)
1035: (x,y) = (32.7666, 7.96469)
1036: (x,y) = (34.6792, 7.37994)
1037: (x,y) = (36.6789, 7.34504)
1038: (x,y) = (38.6014, 6.79376)
1039: (x,y) = (40.5501, 6.34386)
1040: (x,y) = (41.3636, 8.17095)
1041: (x,y) = (39.451, 7.58621)
1042: (x,y) = (37.4537, 7.48154)
1043: (x,y) = (37.0379, 9.43783)
1044: (x,y) = (37.7547, 11.305)
1045: (x,y) = (38.1363, 9.34174)
1046: (x,y) = (40.1214, 9.098)
1047: (x,y) = (41.7987, 8.00872)
1048: (x,y) = (39.8581, 7.52488)
1049: (x,y) = (41.6852, 6.7114)
1050: (x,y) = (39.8442, 5.92994)
1051: (x,y) = (41.8075, 5.54832)
1052: (x,y) = (40.8378, 7.29756)
1053: (x,y) = (40.6983, 9.29269)
1054: (x,y) = (42.6907, 9.11838)
1055: (x,y) = (41.814, 7.32079)
1056: (x,y) = (43.4913, 8.41007)
1057: (x,y) = (41.6503, 9.19153)
1058: (x,y) = (40.5031, 10.8298)
1059: (x,y) = (40.1903, 8.85446)
1060: (x,y) = (42.0697, 8.17042)
1061: (x,y) = (40.1291, 7.68658)
1062: (x,y) = (38.1885, 7.20273)
1063: (x,y) = (36.3909, 8.07947)
1064: (x,y) = (35.5457, 9.89209)
1065: (x,y) = (33.7964, 8.92247)
1066: (x,y) = (31.8332, 8.54085)
1067: (x,y) = (33.6603, 9.35433)
1068: (x,y) = (32.6004, 7.65823)
1069: (x,y) = (30.7878, 6.81299)
1070: (x,y) = (32.6899, 7.43103)
1071: (x,y) = (33.5979, 9.21304)
1072: (x,y) = (33.3542, 11.1981)
1073: (x,y) = (35.0315, 12.2874)
1074: (x,y) = (33.5928, 13.6767)
1075: (x,y) = (31.9545, 14.8239)
1076: (x,y) = (33.9436, 15.0329)
1077: (x,y) = (33.1621, 16.8739)
1078: (x,y) = (31.4848, 17.9632)
1079: (x,y) = (29.6872, 17.0865)
1080: (x,y) = (30.3712, 18.9659)
1081: (x,y) = (28.3724, 18.8961)
1082: (x,y) = (28.9572, 16.9835)
1083: (x,y) = (30.9135, 17.3993)
1084: (x,y) = (32.9122, 17.3295)
1085: (x,y) = (34.8928, 17.6078)
1086: (x,y) = (36.2049, 16.0984)
1087: (x,y) = (35.892, 14.123)
1088: (x,y) = (37.3783, 12.7848)
1089: (x,y) = (35.7202, 11.6664)
1090: (x,y) = (33.7279, 11.8407)
1091: (x,y) = (32.0505, 12.93)
1092: (x,y) = (33.9911, 13.4138)
1093: (x,y) = (32.5524, 12.0245)
1094: (x,y) = (34.4545, 11.4065)
1095: (x,y) = (36.4351, 11.6848)
1096: (x,y) = (34.9724, 10.3208)
1097: (x,y) = (36.8634, 10.972)
1098: (x,y) = (37.7714, 9.18994)
1099: (x,y) = (36.0753, 10.2498)
1100: (x,y) = (34.4993, 9.01846)
1101: (x,y) = (34.743, 11.0036)
1102: (x,y) = (36.6836, 11.4874)
1103: (x,y) = (35.3715, 9.97797)
1104: (x,y) = (33.4396, 9.46034)
1105: (x,y) = (35.3417, 10.0784)
1106: (x,y) = (34.1104, 8.50235)
1107: (x,y) = (32.7722, 7.01606)
1108: (x,y) = (34.6132, 6.2346)
1109: (x,y) = (33.7364, 4.43701)
1110: (x,y) = (32.2977, 3.04769)
1111: (x,y) = (30.6204, 1.95841)
1112: (x,y) = (32.4024, 1.05043)
1113: (x,y) = (34.2, 0.173691)
1114: (x,y) = (36.041, -0.607771)
1115: (x,y) = (34.1284, -1.19251)
1116: (x,y) = (32.2158, -0.607771)
1117: (x,y) = (32.0763, 1.38736)
1118: (x,y) = (33.4145, 2.87365)
1119: (x,y) = (34.7001, 4.40574)
1120: (x,y) = (36.2761, 3.17441)
1121: (x,y) = (35.5921, 1.29503)
1122: (x,y) = (34.6532, 3.06092)
1123: (x,y) = (36.6504, 2.95625)
1124: (x,y) = (36.7899, 0.961122)
1125: (x,y) = (36.8248, -1.03857)
1126: (x,y) = (36.6853, 0.956555)
1127: (x,y) = (36.8596, -1.03583)
1128: (x,y) = (34.8745, -1.27957)
1129: (x,y) = (33.2165, -2.39796)
1130: (x,y) = (33.1467, -4.39674)
1131: (x,y) = (33.9601, -2.56965)
1132: (x,y) = (34.3074, -0.600034)
1133: (x,y) = (33.5907, -2.46719)
1134: (x,y) = (33.9723, -4.43045)
1135: (x,y) = (34.2507, -2.44991)
1136: (x,y) = (35.9087, -1.33153)
1137: (x,y) = (37.7631, -2.08074)
1138: (x,y) = (38.9387, -0.462707)
1139: (x,y) = (37.5, -1.85202)
1140: (x,y) = (38.2167, 0.0151376)
1141: (x,y) = (36.2942, 0.566412)
1142: (x,y) = (38.1852, 1.21755)
1143: (x,y) = (39.5235, 2.70384)
1144: (x,y) = (38.6155, 0.921825)
1145: (x,y) = (40.4827, 1.63856)
1146: (x,y) = (42.0148, 0.352986)
1147: (x,y) = (42.2931, -1.62755)
1148: (x,y) = (43.4403, 0.0107538)
1149: (x,y) = (42.0261, -1.40346)
1150: (x,y) = (40.8505, -3.02149)
1151: (x,y) = (42.7992, -2.57159)
1152: (x,y) = (44.1632, -4.0343)
1153: (x,y) = (42.166, -4.13897)
1154: (x,y) = (43.5802, -2.72476)
1155: (x,y) = (41.5802, -2.72476)
1156: (x,y) = (39.8841, -3.7846)
1157: (x,y) = (37.9435, -3.30075)
1158: (x,y) = (37.2268, -5.16791)
1159: (x,y) = (37.8779, -7.05895)
1160: (x,y) = (38.9672, -8.73629)
1161: (x,y) = (39.037, -10.7351)
1162: (x,y) = (40.7331, -9.67523)
1163: (x,y) = (38.7925, -10.1591)
1164: (x,y) = (40.3685, -11.3904)
1165: (x,y) = (38.3761, -11.2161)
1166: (x,y) = (37.2005, -12.8341)
1167: (x,y) = (35.2309, -12.4868)
1168: (x,y) = (35.7822, -10.5643)
1169: (x,y) = (34.2728, -9.25219)
1170: (x,y) = (34.203, -11.251)
1171: (x,y) = (32.8137, -12.6896)
1172: (x,y) = (32.988, -10.6973)
1173: (x,y) = (32.8137, -12.6896)
1174: (x,y) = (33.2975, -14.6302)
1175: (x,y) = (31.7215, -13.3989)
1176: (x,y) = (33.5625, -12.6175)
1177: (x,y) = (31.6138, -12.1676)
1178: (x,y) = (33.4548, -11.3861)
1179: (x,y) = (32.6733, -13.2271)
1180: (x,y) = (30.7508, -12.6758)
1181: (x,y) = (32.3051, -13.9345)
1182: (x,y) = (30.993, -12.425)
1183: (x,y) = (32.2516, -13.9793)
1184: (x,y) = (31.6336, -15.8815)
1185: (x,y) = (32.9457, -14.372)
1186: (x,y) = (32.428, -12.4402)
1187: (x,y) = (33.9823, -13.6988)
1188: (x,y) = (35.3716, -12.2601)
1189: (x,y) = (37.2388, -11.5434)
1190: (x,y) = (35.6005, -10.3963)
1191: (x,y) = (34.8513, -8.54188)
1192: (x,y) = (35.6328, -6.70087)
1193: (x,y) = (34.4856, -5.06257)
1194: (x,y) = (34.6251, -7.0577)
1195: (x,y) = (33.8437, -8.89871)
1196: (x,y) = (34.5277, -7.01932)
1197: (x,y) = (32.5644, -6.63771)
1198: (x,y) = (30.6326, -6.12007)
1199: (x,y) = (29.6326, -4.38802)
1200: (x,y) = (30.8639, -5.96404)
1201: (x,y) = (30.829, -3.96434)
1202: (x,y) = (31.7986, -5.71358)
1203: (x,y) = (30.1806, -4.53801)
1204: (x,y) = (30.1108, -2.53923)
1205: (x,y) = (29.5932, -0.607378)
1206: (x,y) = (27.9158, -1.69666)
1207: (x,y) = (28.9158, 0.0353947)
1208: (x,y) = (29.0901, 2.02778)
1209: (x,y) = (31.0464, 1.61196)
1210: (x,y) = (29.8151, 0.0359392)
1211: (x,y) = (28.7258, 1.71328)
1212: (x,y) = (30.6664, 1.22944)
1213: (x,y) = (32.1291, 2.59343)
1214: (x,y) = (32.9106, 0.752424)
1215: (x,y) = (34.3733, -0.611573)
1216: (x,y) = (32.4607, -0.0268297)
1217: (x,y) = (30.4974, -0.408448)
1218: (x,y) = (28.9214, 0.822875)
1219: (x,y) = (29.9214, 2.55493)
1220: (x,y) = (30.2687, 4.52454)
1221: (x,y) = (29.7174, 2.60202)
1222: (x,y) = (30.8646, 4.24032)
1223: (x,y) = (28.895, 4.58762)
1224: (x,y) = (29.7084, 6.41471)
